round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
26,proto,100,0.385135818085159,0.4666913529532481,0.385135818085159,0.6013340434656635,0.41945308523388947,0.385135818085159,0.385135818085159,0.38311930485678375,0.385135818085159,0.4085503631037624,0.05561712556611523,0.22920956783083443,0.4944293277080366
26,clf,100,0.37112285055870814,0.4209747304862473,0.37112285055870814,0.5703998565016664,0.41051328703579126,0.37112285055870814,0.37112285055870814,0.3205701747319976,0.37112285055870814,0.353894070880649,0.0537549269143148,0.1624724714512396,0.42610933404624035
27,proto,100,0.38317467345850803,0.46402539522700004,0.38317467345850803,0.5994132894085986,0.4203589022715821,0.38317467345850803,0.38317467345850803,0.38238926226874065,0.38317467345850803,0.4072638800348471,0.05371406181076529,0.231802462642218,0.48697063690130205
27,clf,100,0.37179518021124286,0.420360718330558,0.37179518021124286,0.5701631976911776,0.41230079631721894,0.37179518021124286,0.37179518021124286,0.3198524429865158,0.37179518021124286,0.354140368504573,0.05353854476077258,0.18163156552879012,0.4207590040877882
28,proto,100,0.38004387742310614,0.46125099000285685,0.38004387742310614,0.5978711926867983,0.41771861700511204,0.38004387742310614,0.38004387742310614,0.37944400206224055,0.38004387742310614,0.4047504143794602,0.05400301229465765,0.23023861254357855,0.48228242465694093
28,clf,100,0.36983915855112154,0.4221455217425878,0.36983915855112154,0.5701424507415545,0.41028770661530056,0.36983915855112154,0.36983915855112154,0.3184020061313675,0.36983915855112154,0.3513177568586004,0.05428819778713327,0.1820017311875816,0.45214881125374495
29,proto,100,0.3754768888976032,0.46167147424595667,0.3754768888976032,0.5980171106002335,0.4133489571519076,0.3754768888976032,0.37547688889760317,0.3762521162426815,0.3754768888976032,0.40115649404436415,0.05253282593356845,0.22502663278272309,0.48187797941853616
29,clf,100,0.369713750412007,0.42063085739733125,0.369713750412007,0.5699973605881234,0.4107972404667659,0.369713750412007,0.369713750412007,0.31808352999753803,0.369713750412007,0.35148407014845096,0.05348094286726709,0.1616030151919714,0.4328970785801396
30,proto,100,0.37751438273085436,0.45956776023071677,0.37751438273085436,0.5955600738420164,0.4140993899879875,0.37751438273085436,0.3775143827308544,0.3772200650689907,0.37751438273085436,0.4021907975623947,0.05357833183475741,0.23885318964875224,0.4753295115202957
30,clf,100,0.3707554902766319,0.4198969075624066,0.3707554902766319,0.5711616311072398,0.4137205950302957,0.3707554902766319,0.3707554902766319,0.3193005925241902,0.3707554902766319,0.3521624547995345,0.054266256826454605,0.1680777087276546,0.4355974058779897
31,proto,100,0.3756915647052604,0.45691436129991936,0.3756915647052604,0.5960379743754057,0.41502180715478265,0.3756915647052604,0.3756915647052604,0.3755407806290727,0.3756915647052604,0.40028924940588956,0.05458187262517448,0.22533395948152132,0.4843114735091988
31,clf,100,0.37217821325832673,0.42090312369949445,0.37217821325832673,0.570466556715453,0.41492431650103734,0.37217821325832673,0.37217821325832673,0.32110429982416255,0.37217821325832673,0.3533631735832835,0.054497005717964925,0.1869141266237861,0.43042230377027935
32,proto,100,0.3717293557133158,0.45587440059792045,0.3717293557133158,0.5934428423453382,0.41208397243997824,0.3717293557133158,0.3717293557133158,0.3721344769130702,0.3717293557133158,0.3972252114104664,0.05216652978475126,0.2172068522417218,0.4725866578034266
32,clf,100,0.37010398516244686,0.42167430837156106,0.37010398516244686,0.5705374378297636,0.4139139295018993,0.37010398516244686,0.37010398516244686,0.32245988393025515,0.37010398516244686,0.35212605247080847,0.05439764483600211,0.1769625361940862,0.4319977299724732
33,proto,100,0.37145394120417874,0.45670613836343754,0.37145394120417874,0.5950082910593157,0.41074176820966796,0.37145394120417874,0.37145394120417874,0.37274741830399194,0.37145394120417874,0.39763864851071307,0.05464370407538914,0.22746012966329993,0.48183068761900866
